0010003	9.29	0
0010004	13.75	0
0010008	14.48	0
0010009	12.1	1
0010010	11.32	1
0010014	7.55	0
0010021	12.54	0
0010023	13.42	1
0010024	8.26	1
0010031	11.87	0
0010034	10.86	0
0010036	9.45	0
0010038	12.79	0
0010039	13.28	1
0010043	8.16	0
0010045	12.49	1
0010046	9.75	1
0010052	16.31	1
0010053	15.28	0
0010054	17.83	1
0010057	17.7	1
0010058	14.2	1
0010059	17.89	0
0010063	15.91	0
0010065	14.19	0
0010066	13.9	0
0010068	13.3	1
0010069	16.93	1
0010076	15.95	0
0010077	8.03	0
0010079	15.27	1
0010080	17.86	0
0010082	11.4	1
0010083	14.42	0
0010084	17.96	0
0010088	14.66	1
0010089	14.87	0
0010092	17.3	1
0010093	15.21	0
0010094	15.21	0
0010097	14.38	0
0010099	9.96	0
0010100	16.88	1
0010102	16.55	1
0010110	16.08	0
0010111	7.74	1
0010112	14.79	1
0010113	14.91	0
0010114	16.73	1
0010117	9.35	1
0010120	17.09	0
0010121	14.18	0
0010122	16.28	1
0010123	16.13	1
0010124	14.06	0
0010125	7.19	1
0010128	9.53	1
1000804	7.29	1
1127915	12.44	0
1320247	8.59	1
1359325	10.76	1
1435954	11.92	1
1567356	8.91	0
1700637	7.68	0
1737393	11.24	1
1854959	12.99	0
1884448	8.91	1
1934623	8.45	0
1995121	11.43	1
2136051	9.23	1
2730704	10.21	0
2735617	11.42	1
2907383	12.24	0
2991307	8.3	1
3011311	11.56	0
3163200	11.91	1
3243657	8.56	0
3349423	12.59	1
3518345	7.67	0
3650634	13.25	0
3845761	8.19	1
4079254	10.19	1
4084645	7.63	0
4164316	10.69	1
4562206	7.91	0
4827048	13.22	0
6206397	11.56	0
6568351	8.1	0
8415034	11.79	0
8692452	12.25	1
8834383	8.8	1
9578663	8.26	0
9750701	10.74	1
